"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NXEKGBFT","webpage","2016","","JavaScript Is Turing Complete— Explained","freeCodeCamp.org","","","","https://www.freecodecamp.org/news/javascript-is-turing-complete-explained-41a34287d263/","by rajaraodv JavaScript Is Turing Complete— Explained If you start learning functional programming in JavaScript, you’ll probably hear about lambda calculus [https://en.wikipedia.org/wiki/Lambda_calculus], Turing machine [https://en.wikipedia.org/wiki/Turing_machine], Turing complete [https://en.wikipedia.org/wiki/Turing_completeness]  and somehow “JavaScript is Turing complete”. But, no one seem to explain, in simple terms, what it actually means. What’s the relation b/w a Turing “machine” an","2016-05-19","2019-10-14 10:05:03","2019-10-14 10:05:13","2019-10-14 10:05:03","","","","","","","","","","","","","","en","","","","","","","","<p>This tells us that if something is Turing complete, it is a Turing machine –  i.e. a normal computer.</p> <p>This essentially means that, given enough memory, storage etc., it can complete any calculation / operation we ask of it.</p> <p>A normal pocket calculator is Turing-<strong>incomplete</strong> because it can only complete a small subset of predefined calculations.</p> <p>A modern PC or Mac is Turing <strong>complete</strong> because it can technically complete any computational task we ask it to.</p> <p> </p> <p>Broad description of what it means to be Turing complete</p>","/Users/robbie/Zotero/storage/NSY7VD38/javascript-is-turing-complete-explained-41a34287d263.html","","Turing Completeness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5N7MJ7W","webpage","","","Further Module Information (DUO)","","","","","https://duo.dur.ac.uk/bbcswebdav/pid-5433727-dt-content-rid-19703357_2/courses/X_COMP_UGP_2019/Further%20Module%20Information%282%29.html","","","2019-10-14 10:33:29","2019-10-14 10:33:56","2019-10-14 10:33:29","","","","","","","","","","","","","","","","","","","","","","","/Users/robbie/Zotero/storage/5NX2GU6K/Further Module Information(2).html","","Project Admin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHSGY2D4","document","","","Project Themes for 2019/20","","","","","https://duo.dur.ac.uk/bbcswebdav/pid-4663285-dt-content-rid-19236835_2/courses/X_COMP_UG_PROJ_NEXT_YR_2018/Themes_2019-20%283%29.html#TH70","","","2019-10-14 10:48:10","2019-10-14 10:48:41","2019-10-14","","","","","","","","","","","","","","","","","","","","","","","","","Game of Life; Project Admin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QKIKSUM7","encyclopediaArticle","2019","","Turing machine","Wikipedia","","","","https://en.wikipedia.org/w/index.php?title=Turing_machine&oldid=915459429","A Turing machine is a mathematical model of computation that defines an abstract machine, which manipulates symbols on a strip of tape according to a table of rules. Despite the model's simplicity, given any computer algorithm, a Turing machine capable of simulating that algorithm's logic can be constructed.The machine operates on an infinite memory tape divided into discrete ""cells"". The machine positions its ""head"" over a cell and ""reads"" or ""scans"" the symbol there. Then, as per the symbol and its present place in a ""finite table"" of user-specified instructions, the machine (i) writes a symbol (e.g., a digit or a letter from a finite alphabet) in the cell (some models allowing symbol erasure or no writing), then (ii) either moves the tape one cell left or right (some models allow no motion, some models move the head), then (iii) (as determined by the observed symbol and the machine's place in the table) either proceeds to a subsequent instruction or halts the computation.The Turing machine was invented in 1936 by Alan Turing, who called it an ""a-machine"" (automatic machine). With this model, Turing was able to answer two questions in the negative: (1) Does a machine exist that can determine whether any arbitrary machine on its tape is ""circular"" (e.g., freezes, or fails to continue its computational task); similarly, (2) does a machine exist that can determine whether any arbitrary machine on its tape ever prints a given symbol. Thus by providing a mathematical description of a very simple device capable of arbitrary computations, he was able to prove properties of computation in general—and in particular, the uncomputability of the Entscheidungsproblem ('decision problem').Thus, Turing machines prove fundamental limitations on the power of mechanical computation. While they can express arbitrary computations, their minimalistic design makes them unsuitable for computation in practice: real-world computers are based on different designs that, unlike Turing machines, use random-access memory. Turing completeness is the ability for a system of instructions to simulate a Turing machine. A programming language that is Turing complete is theoretically capable of expressing all tasks accomplishable by computers; nearly all programming languages are Turing complete if the limitations of finite memory are ignored.","2019-09-13","2019-10-14 10:57:43","2019-10-14 10:57:53","2019-10-14 10:57:43","","","","","","","","","","","","","","en","Creative Commons Attribution-ShareAlike License","","","","Wikipedia","","Page Version ID: 915459429","","/Users/robbie/Zotero/storage/EBWYEJ93/index.html","","Turing Completeness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFMJDJAB","webpage","2019","Facebook Inc.","Reconciliation","React","","","","https://reactjs.org/docs/reconciliation.html","A JavaScript library for building user interfaces","2019-02-21","2019-10-14 20:01:29","2020-08-13 22:09:14","2019-10-14 20:01:29","","","","","","","","","","","","","","en","","","","","","","","","/Users/robbie/Zotero/storage/E5I7CJMB/reconciliation.html","","Diffing Algorithms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6RCXAWL","bookSection","2010","McIntosh, Harold V.","Conway’s Life","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_3","The rules of Conway’s Life, a two dimensional cellular automaton, are explained. Some of its characteristics and typical behavior are described. An algorithm to calculate periodic states using de Bruijn diagrams is explained. The paper is written in July 4, 1988.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","17-33","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_3","","","","","Cellular Automaton; Klein Bottle; Linear Automaton; Small Space Ship; Vertical Strip","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KDHPD8CT","bookSection","2010","Wainwright, Robert","Conway’s Game of Life: Early Personal Recollections","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_2","When the October 1970 issue of Scientific American arrived, I had no idea the extent to which Martin Gardner’s article in that issue would affect my life. As long as I can remember, my custom would be to seek out the Mathematical Games column in search for Gardner’s latest topic with the usual reader challenges. My first reaction to that particular article introducing a new pastime titled “The fantastic combinations of John Conway’s new solitaire game ‘life''' was only mildly interesting. A couple of days later, still curious about the outcome of random patterns, I located an old checkerboard and a small jarful of pennies to investigate this new game.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","11-16","","","","","","Conway’s Game of Life","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_2","","","","","","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JYA8SU4","bookSection","2010","Pivato, Marcus","RealLife","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_12","Let ℝ D be D-dimensional Euclidean space, and let Open image in new window . A ‘Euclidean automaton’ is a shift-commuting transformation of Open image in new window determined by a local rule, analogous to a cellular automaton (CA). In her study of ‘Larger than Life’ (LtL) CA, Evans conjectured that, as their radius grows to infinity, LtL CA converge to a ‘continuum limit’ Euclidean automaton. We prove Evan’s conjecture, and name this family of Euclidean automata ‘RealLife’. We also show that the ‘life forms’ (fixed points, periodic orbits, and propagating structures) of LtL CA converge to life forms of RealLife. We next prove a number of existence results for fixed points of RealLife. Finally, we turn to a more qualitative discussion of the biology of the ‘bugs’ which seem ubiquitous in LtL and RealLife.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","223-234","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_12","","","","","Cellular Automaton; Compact Neighbourhood; Continuum Limit; Life Form; Neighbourhood Radius","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VLP8NJD8","bookSection","2010","Goucher, Adam P.","Universal Computation and Construction in GoL Cellular Automata","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_25","This chapter is concerned with the developments of universal computation and construction within Conway’s Game of Life (GoL). I will begin by describing the history of the concepts and mechanisms for universal computation and construction in GoL, before explaining how a Universal Computer–Constructor (UCC) would operate in this automaton. Moreover, I shall present the design of a working UCC in the rule. It is both capable of computing any calculation (i.e. it is Turing-complete) and constructing most, if not all, of the constructible configurations within the rule. It cannot construct patterns which have no predecessor; neither can any machine in the rule (for obvious reasons). As such, it is more accurately a general constructor, rather than a universal constructor.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","505-517","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_25","","","","","Cellular Automaton; Binary Digit; Control Section; Lookup Table; Turing Machine","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LUNRFK9X","bookSection","2010","Rendell, Paul","A Simple Universal Turing Machine for the Game of Life Turing Machine","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_26","In this chapter we present a simple universal Turing machine which is small enough to fit into the design limits of the Turing machine build in Conway’s Game of Life by the author. That limit is 8 symbols and 16 states. By way of comparison we also describe one of the smallest known universal Turing machines due to Rogozhin which has 6 symbols and 4 states.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","519-545","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_26","","","","","Cellular Automaton; Turing Machine; Screen Shot; State Machine; State Transition Diagram","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
